title_id,movie,drama,animation,2nd,num_extended,extended,novel_original,title,author,author_works,episode,complete,age,days_since_start,like_count,story_cleaned,hashtag,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
814398,0,0,0,0,0,0,0,로맨스 당도 백퍼센트,이동건,13,28,1,0,630,61107,각자 과거 기억 깨우다 떠나다 로맨스 루나 제작 사랑 새롭다 소재 신작 어시스트 오직 작가 전문 준비,일상 리얼로맨스 러블리 짝사랑 로맨스코미디 하이퍼리얼리즘,10587,9.92,5969.4,784.4,3124.76
546805,0,0,0,0,0,0,0,알게뭐야,김재한,6,101,1,12,4421,329988,뮤지션 성장기 슈퍼스타,드라마 음악,6943,9.94,36923,4866.8,2976.57
786262,0,0,0,0,0,0,0,생존고백,박태현,7,91,1,12,1231,94031,거짓 고백 귀신 살아나다 생존 서바이벌 애기 퇴마사 로부터,로맨스 2021 지상최대공모전 오컬트,7168,9.94,5637,521.2,1364.33
452116,0,0,0,0,0,0,0,MY OH,박카린,5,166,1,0,4818,78547,라이프 만들기 명의 바보 신나다 음악 전혀 캠퍼스 프로젝트,드라마 음악,2145,9.92,15390.4,2633,815.49
776143,0,0,0,0,0,0,1,독신마법사 기숙아파트,"Studio 우리들,재윤,기르답",12,72,1,0,1399,29541,공무원 기숙 넘치다 독신 세다 마법사 과정 사고뭉치 사정 상경 순수 아가씨 아파트 평범 하루하루,로맨스 소설,3590.4,9.93,3529.6,260.6,875.51
686342,0,0,0,0,0,0,0,잡지마 위기종,"신태훈,나승훈",18,8,1,0,3142,15846,구하라 브랜드 환경부,일상 무료,10905.8,9.96,14510,1631.8,4323.57
25735,0,0,0,0,0,0,0,어서오세요.305호에,와난,4,175,1,0,6276,155944,겪다 김정현 룸메이트 민망 자라 정반대 평범,드라마 감성드라마,6982.4,9.96,27001.8,3024.2,2738.76
748045,0,0,0,0,0,0,0,빛빛빛,수진,4,59,1,0,1796,86251,만나다 선택 엇갈리다 우리 재회 첫사랑,로맨스 재회,8149.4,9.94,7615.2,504,2667.92
169080,0,0,0,0,0,0,0,Penguin loves Mev,펭귄,2,817,1,0,5457,259967,러브 발랄 스토리 시즌 엉뚱 영국 펭귄 한국,일상 감성드라마,5189.4,9.9,23429,3653.8,961.8
737377,0,0,0,0,0,0,0,민간인 통제구역,OSIK,2,74,1,15,1967,120070,감추다 이면 좋다 진실 차마,스릴러 명작 직업드라마 밀리터리,8870.2,9.95,9138.6,1086.4,4162.22
188197,0,0,0,0,0,0,0,미호이야기,혜진양,5,27,1,0,5412,64004,여운 걸리다 구미호 꼬리 나타나다 달리다 아홉 웃기다 자식 잡아먹다 저주 처음,판타지 동양풍판타지,3700.2,9.96,16283.4,3611.2,907.28
821378,0,0,0,0,0,0,0,천 살 연하 황제가 집착한다,"이윤희,카라",2,46,0,0,455,91396,거두다 결혼 계획 나이 마법사 때문 마력 망가지다 불길 새롭다 소년 아름답다 아리엘 원한 라며 인생 직업 짜다 청혼 치다 태우다 특이 품다,로맨스 서양 마법 왕족/귀족 집착남 연하남 연상녀 철벽녀 능력녀 직진남 재회 연상연하 로판 소설,4350.8,9.94,3944,188.4,958.58
794939,0,0,0,0,0,0,1,루크 비셸 따라잡기,"앙꼬빵,학뚜벅,에슈티",3,80,1,0,1083,55199,결혼 작가 두다 루크 마물 사냥꾼 망나니 바스티안 반대 선언 왕국 정반대 제일 최고 평탄,로맨스 다정남 소설,5730.8,9.94,4660.2,246,2054.14
774868,0,0,0,0,0,0,0,미혼남녀의 효율적 만남,타리,4,52,1,0,1317,131687,꿈꾸다 나이 로맨스 마냥 만나다 명의 미혼 남녀 부분 부족 사랑 소개팅 스펙 보통 신작 아쉽다 어렵다 외모 요즘 작가 조건 좋아 직장인 타다 현실 환상 효율 추구,로맨스 리얼로맨스 하이퍼리얼리즘 오피스로맨스,8919.4,9.93,10571.4,606.6,4611.51
478261,0,0,0,0,0,0,0,선천적 얼간이들,가스파드,3,104,1,0,4713,444763,뜨다 라이프 새롭다 선천 인류 얼간이 우유부단 이름 좌충우돌 중심 친구 해도 화제,개그 무해한 러블리 힐링 4차원 하이퍼리얼리즘 동물 공감성수치,19164,9.89,82423.8,11989.2,5682.12
