movie,drama,animation,2nd,num_extended,extended,novel_original,title_id,title,author,author_works,episode,complete,age,days_since_start,like_count,story_cleaned,hashtag,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
0,0,0,0,0,0,0,773417,포식동물,"신희빈,치훈",3,56,1,18,1430,70924,가득 괴물 구원 나서다 매일 먹이 스물 다섯 옆방 인류 취준생 친구 탐욕 포식자 혐오,스릴러 아포칼립스 사이비종교 성인,6208.4,9.93,7922.4,529.2,2266.86
0,2,0,2,1,1,0,727784,사냥개들,정찬,2,89,1,18,2185,123729,더럽다 때문 명의 보여주다 사냥 시작 얽히다 젊은이,액션 느와르 성인,7919.6,9.28,11842.8,507.4,1079.53
0,0,0,0,0,0,0,811841,죽고 싶습니다,연제원,8,84,1,18,699,18301,게임 결심 넣기 다른 몰리다 무인도 살인 살인마 시작 우리 인생 죽다,스릴러 고자극스릴러 자극적인 시리어스 생존 데스게임 범죄 서바이벌,1208.4,9.88,1770.8,109.6,121.68
0,0,0,0,0,0,0,729563,압락사스,247,3,117,1,18,2107,36074,무자비 지다 간다 범죄 사이비 살인마 악의 장악 전염병 종교 지역,스릴러 성인,7171.2,9.9,9603.2,342.4,1650.42
0,0,0,0,0,0,0,793350,미나 이퀄,이유정,3,82,1,18,1120,57263,가치 강호 결심 고등학생 해내다 그리다 냉혹 당한 도로 돌아 많다 목숨 바치다 방법 복수 불구 비록 명감 생각 소방관 시간 아내 완성 이행 처참 키우다 내다 킬러 로서 회수 흐르다,액션 성인,4162,9.9,5680.2,233.4,895
0,0,0,0,0,0,0,819690,사람 냄새,김숭늉,6,80,1,18,508,42069,주민 고시원 노숙자 다르다 대신 떠나다 마는 생각 선택 신세 여기 인생 임시 잠깐 대미 질투 취준생 취해 친구 하이 호러 훔치다,스릴러 아포칼립스 좀비 서스펜스 성인,578.2,9.83,824.6,49,120.35
0,0,0,0,0,0,0,791253,비즈니스 여친,"루즌아,서해",10,46,1,18,1165,292576,가정 관계 국내 루나 대행 만난 맺다 모으다 목표 불리다 살다 살아 리엘 시작 아르바이트 아파트 애인 은밀 이후 최고 파산,로맨스 고자극로맨스 성인,14710.8,9.77,16028.4,700,5398.87
0,0,0,0,0,0,0,530312,독신으로 살겠다,선정성,1,127,1,18,4500,182754,가라 독신 듣다 말로 살다 살아 솔직담백 언니,드라마 성인,5040.6,9.01,49536.6,10141.8,2317.37
0,0,0,0,0,0,0,726095,살人스타그램,령,5,99,1,18,2240,140254,귀신 숨다 스릴러 시작 시즌 잔혹 초대 투표 플레이어,스릴러 성인,18195.6,9.55,25077.2,2625.2,6707.21
0,0,0,0,0,0,0,745237,운수 오진 날,아포리아,4,25,1,18,1826,108464,괴상 낯선 동행 마르다 오늘 좋다 함부로,스릴러 성인,9240.4,9.8,12451,905,3258.79
